Time(s),CH1(V),CH2(V),CH3(V)
-4.8185E-06,7.868892E-02,1.719371E+00,9.735684E-02
-4.8180E-06,8.331767E-02,1.719371E+00,9.735684E-02
-4.8175E-06,8.331767E-02,1.719371E+00,9.272080E-02
-4.8170E-06,7.868892E-02,1.719371E+00,9.272080E-02
-4.8165E-06,7.868892E-02,1.814891E+00,9.735684E-02
-4.8160E-06,7.868892E-02,1.814891E+00,9.735684E-02
-4.8155E-06,8.331767E-02,1.719371E+00,9.735684E-02
-4.8150E-06,8.331767E-02,1.719371E+00,9.735684E-02
-4.8145E-06,7.868892E-02,1.814891E+00,9.735684E-02
-4.8140E-06,7.868892E-02,1.910412E+00,9.272080E-02
-4.8135E-06,7.868892E-02,1.910412E+00,9.272080E-02
-4.8130E-06,7.868892E-02,1.814891E+00,1.019929E-01
-4.8125E-06,7.868892E-02,1.814891E+00,1.019929E-01
-4.8120E-06,8.331767E-02,1.814891E+00,9.735684E-02
-4.8115E-06,8.331767E-02,1.814891E+00,9.735684E-02
-4.8110E-06,7.868892E-02,1.814891E+00,9.272080E-02
-4.8105E-06,7.868892E-02,1.910412E+00,9.735684E-02
-4.8100E-06,7.406016E-02,1.814891E+00,9.735684E-02
-4.8095E-06,7.406016E-02,1.910412E+00,9.735684E-02
-4.8090E-06,7.868892E-02,1.910412E+00,9.735684E-02
-4.8085E-06,7.868892E-02,1.910412E+00,9.735684E-02
-4.8080E-06,7.406016E-02,1.910412E+00,1.019929E-01
-4.8075E-06,7.868892E-02,1.814891E+00,1.019929E-01
-4.8070E-06,8.331767E-02,1.814891E+00,1.019929E-01
-4.8065E-06,7.868892E-02,1.910412E+00,1.019929E-01
-4.8060E-06,8.331767E-02,2.005933E+00,1.019929E-01
-4.8055E-06,8.331767E-02,2.005933E+00,1.019929E-01
-4.8050E-06,7.868892E-02,1.910412E+00,9.735684E-02
-4.8045E-06,8.331767E-02,1.910412E+00,1.019929E-01
-4.8040E-06,8.794644E-02,1.910412E+00,1.019929E-01
-4.8035E-06,8.794644E-02,1.910412E+00,1.019929E-01
-4.8030E-06,8.331767E-02,1.910412E+00,1.019929E-01
-4.8025E-06,8.331767E-02,2.005933E+00,1.019929E-01
-4.8020E-06,8.794644E-02,1.910412E+00,1.019929E-01
-4.8015E-06,8.794644E-02,1.910412E+00,1.019929E-01
-4.8010E-06,8.794644E-02,2.005933E+00,1.066289E-01
-4.8005E-06,8.794644E-02,1.910412E+00,1.066289E-01
-4.8000E-06,8.794644E-02,2.005933E+00,1.019929E-01
-4.7995E-06,8.331767E-02,2.005933E+00,1.019929E-01
-4.7990E-06,8.794644E-02,2.005933E+00,9.735684E-02
-4.7985E-06,8.794644E-02,1.910412E+00,1.019929E-01
-4.7980E-06,8.794644E-02,1.910412E+00,1.019929E-01
-4.7975E-06,8.794644E-02,2.005933E+00,1.019929E-01
-4.7970E-06,8.794644E-02,2.101453E+00,1.019929E-01
-4.7965E-06,8.794644E-02,2.101453E+00,1.019929E-01
-4.7960E-06,8.794644E-02,2.005933E+00,1.019929E-01
-4.7955E-06,8.331767E-02,2.005933E+00,1.066289E-01
-4.7950E-06,8.331767E-02,2.005933E+00,1.066289E-01
-4.7945E-06,8.794644E-02,2.005933E+00,1.019929E-01
-4.7940E-06,8.794644E-02,2.005933E+00,1.066289E-01
-4.7935E-06,8.794644E-02,2.005933E+00,1.066289E-01
-4.7930E-06,8.794644E-02,2.005933E+00,1.066289E-01
-4.7925E-06,8.794644E-02,2.005933E+00,1.066289E-01
-4.7920E-06,8.794644E-02,2.005933E+00,1.066289E-01
-4.7915E-06,9.257519E-02,2.005933E+00,1.066289E-01
-4.7910E-06,8.794644E-02,2.101453E+00,1.019929E-01
-4.7905E-06,8.331767E-02,2.101453E+00,1.066289E-01
